
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   9660 Services                   0     10,372 K
taskhostw.exe                 9132 Console                    1     13,640 K
chrome.exe                    9056 Console                    1    277,116 K
chrome.exe                    3016 Console                    1      6,040 K
chrome.exe                     392 Console                    1    186,988 K
chrome.exe                    8500 Console                    1     54,044 K
chrome.exe                     240 Console                    1     18,588 K
chrome.exe                    7376 Console                    1    103,008 K
chrome.exe                    4464 Console                    1     53,508 K
chrome.exe                    4456 Console                    1     67,216 K
chrome.exe                    7288 Console                    1     37,200 K
chrome.exe                    4016 Console                    1     44,012 K
chrome.exe                    8400 Console                    1     87,072 K
chrome.exe                    6136 Console                    1     89,068 K
chrome.exe                    2060 Console                    1    381,936 K
chrome.exe                    9764 Console                    1     91,392 K
ProBrcp.exe                   7468 Console                    1         56 K
chrome.exe                    9456 Console                    1    255,760 K
chrome.exe                    4340 Console                    1    280,036 K
chrome.exe                    7976 Console                    1     20,660 K
chrome.exe                    5004 Console                    1     97,596 K
chrome.exe                   11124 Console                    1    139,360 K
chrome.exe                   10976 Console                    1     83,792 K
chrome.exe                    1324 Console                    1    184,232 K
chrome.exe                    2608 Console                    1    108,324 K
WindowsInternal.Composabl    10896 Console                    1     37,688 K
chrome.exe                    1716 Console                    1    111,240 K
SystemSettingsBroker.exe      2304 Console                    1     27,636 K
chrome.exe                    9492 Console                    1     74,660 K
chrome.exe                    2980 Console                    1     81,888 K
chrome.exe                    6856 Console                    1     74,988 K
chrome.exe                    4952 Console                    1    142,072 K
chrome.exe                   10940 Console                    1     43,052 K
chrome.exe                    6424 Console                    1     79,628 K
cmd.exe                      10300 Console                    1      4,092 K
conhost.exe                  11232 Console                    1     14,748 K
svchost.exe                   6836 Services                   0     10,764 K
dllhost.exe                    892 Services                   0     10,060 K
svchost.exe                   4000 Services                   0      4,864 K
svchost.exe                   3188 Services                   0      7,712 K
svchost.exe                  11348 Services                   0     13,156 K
rundll32.exe                 12772 Console                    1      7,936 K
chrome.exe                    8940 Console                    1     42,512 K
svchost.exe                  11744 Services                   0      8,632 K
notepad++.exe                12224 Console                    1     53,528 K
audiodg.exe                   2928 Services                   0     19,432 K
chrome.exe                    9620 Console                    1    127,704 K
SearchProtocolHost.exe        9184 Console                    1      7,368 K
TiWorker.exe                 12852 Services                   0      4,016 K
SearchProtocolHost.exe       12520 Services                   0      9,824 K
svchost.exe                   9500 Services                   0      5,760 K
smartscreen.exe               5576 Console                    1     21,380 K
SearchFilterHost.exe         11600 Services                   0      8,516 K
WmiPrvSE.exe                  4148 Services                   0     10,108 K
chrome.exe                   13048 Console                    1     40,152 K
Q1.exe                       12712 Console                    1      2,324 K
cmd.exe                       8892 Console                    1      3,668 K
tasklist.exe                  3688 Console                    1      8,380 K
