,Name,State_Province
206,Saveetha University,Tamil Nadu
207,KCG College of Technology,Tamil Nadu
208,Hindustan Institute of Technology and Science,Tamil Nadu
209,Chennai Institute of Technology,Tamil Nadu
210,Sri Sai Ram Engineering College,Tamil Nadu
211,Loyola-ICAM College of Engineering and Technology,Tamil Nadu
212,Sri Sai Ram Institute of Technology,Tamil Nadu
213,RMK Engineering College,Tamil Nadu
214,RMK College of Engineering and Technology,Tamil Nadu
215,RMD Engineering College,Tamil Nadu
216,Velammal Engineering College,Tamil Nadu
217,Velammal Institute of Technology,Tamil Nadu
218,Prathyusha Engineering College,Tamil Nadu
219,Alpha College of Engineering,Tamil Nadu
220,SA Engineering College,Tamil Nadu
